日期,整月缺失数,计数
2018-08-06,0,4143
2018-08-06,1,142
2018-08-06,2,124
2018-08-06,3,101
2018-08-06,4,83
2018-08-06,5,31
2018-08-07,0,3967
2018-08-07,1,107
2018-08-07,2,79
2018-08-07,3,85
2018-08-07,4,55
2018-08-07,5,27
2018-08-08,0,4077
2018-08-08,1,99
2018-08-08,2,98
2018-08-08,3,68
2018-08-08,4,67
2018-08-08,5,23
2018-08-09,0,4298
2018-08-09,1,111
2018-08-09,2,85
2018-08-09,3,78
2018-08-09,4,63
2018-08-09,5,28
2018-08-10,0,4232
2018-08-10,1,135
2018-08-10,2,112
2018-08-10,3,100
2018-08-10,4,79
2018-08-10,5,46
2018-08-11,0,3559
2018-08-11,1,89
2018-08-11,2,74
2018-08-11,3,70
2018-08-11,4,65
2018-08-11,5,24
2018-08-12,0,4352
2018-08-12,1,125
2018-08-12,2,127
2018-08-12,3,78
2018-08-12,4,95
2018-08-12,5,45
2018-08-13,0,5854
2018-08-13,1,185
2018-08-13,2,173
2018-08-13,3,124
2018-08-13,4,147
2018-08-13,5,56
2018-08-14,0,5813
2018-08-14,1,178
2018-08-14,2,138
2018-08-14,3,127
2018-08-14,4,98
2018-08-14,5,42
2018-08-15,0,6351
2018-08-15,1,167
2018-08-15,2,182
2018-08-15,3,139
2018-08-15,4,127
2018-08-15,5,65
2018-08-16,0,5763
2018-08-16,1,174
2018-08-16,2,141
2018-08-16,3,117
2018-08-16,4,132
2018-08-16,5,84
2018-08-17,0,5446
2018-08-17,1,174
2018-08-17,2,156
2018-08-17,3,136
2018-08-17,4,139
2018-08-17,5,77
2018-08-18,0,4533
2018-08-18,1,137
2018-08-18,2,127
2018-08-18,3,125
2018-08-18,4,101
2018-08-18,5,65
2018-08-19,0,4204
2018-08-19,1,152
2018-08-19,2,113
2018-08-19,3,115
2018-08-19,4,103
2018-08-19,5,63
2018-08-20,0,5544
2018-08-20,1,197
2018-08-20,2,147
2018-08-20,3,139
2018-08-20,4,119
2018-08-20,5,76
2018-08-21,0,4637
2018-08-21,1,151
2018-08-21,2,128
2018-08-21,3,80
2018-08-21,4,88
2018-08-21,5,67
2018-08-22,0,4126
2018-08-22,1,113
2018-08-22,2,103
2018-08-22,3,78
2018-08-22,4,95
2018-08-22,5,48
2018-08-23,0,4024
2018-08-23,1,138
2018-08-23,2,111
2018-08-23,3,98
2018-08-23,4,96
2018-08-23,5,49
2018-08-24,0,3337
2018-08-24,1,113
2018-08-24,2,101
2018-08-24,3,86
2018-08-24,4,69
2018-08-24,5,53
2018-08-25,0,3370
2018-08-25,1,129
2018-08-25,2,121
2018-08-25,3,118
2018-08-25,4,109
2018-08-25,5,69
2018-08-26,0,4051
2018-08-26,1,132
2018-08-26,2,134
2018-08-26,3,114
2018-08-26,4,94
2018-08-26,5,109
2018-08-27,0,4501
2018-08-27,1,151
2018-08-27,2,119
2018-08-27,3,97
2018-08-27,4,96
2018-08-27,5,90
2018-08-28,0,3623
2018-08-28,1,96
2018-08-28,2,79
2018-08-28,3,92
2018-08-28,4,73
2018-08-28,5,51
2018-08-29,0,3858
2018-08-29,1,139
2018-08-29,2,109
2018-08-29,3,107
2018-08-29,4,90
2018-08-29,5,79
2018-08-30,0,5275
2018-08-30,1,212
2018-08-30,2,228
2018-08-30,3,136
2018-08-30,4,164
2018-08-30,5,143
2018-08-31,0,2822
2018-08-31,1,143
2018-08-31,2,122
2018-08-31,3,89
2018-08-31,4,95
2018-08-31,5,91
2018-09-01,0,2486
2018-09-01,1,226
2018-09-01,2,232
2018-09-01,3,91
2018-09-01,4,72
2018-09-01,5,19
2018-09-02,0,2542
2018-09-02,1,150
2018-09-02,2,215
2018-09-02,3,74
2018-09-02,4,62
2018-09-02,5,17
2018-09-03,0,2560
2018-09-03,1,131
2018-09-03,2,219
2018-09-03,3,88
2018-09-03,4,81
2018-09-03,5,20
2018-09-04,0,2797
2018-09-04,1,102
2018-09-04,2,92
2018-09-04,3,88
2018-09-04,4,64
2018-09-04,5,19
2018-09-05,0,2908
2018-09-05,1,116
2018-09-05,2,99
2018-09-05,3,86
2018-09-05,4,79
2018-09-05,5,21
2018-09-06,0,1450
2018-09-06,1,47
2018-09-06,2,33
2018-09-06,3,31
2018-09-06,4,28
2018-09-06,5,10
