日期,近第1个月整月缺失详单量,近第2个月整月缺失详单量,近第3个月整月缺失详单量,近第4个月整月缺失详单量,近第5个月整月缺失详单量,近第6个月整月缺失详单量
2018/8/6,0,43,62,128,213,325
2018/8/7,0,31,55,101,162,227
2018/8/8,0,54,64,102,154,228
2018/8/9,0,15,47,97,173,249
2018/8/10,0,14,66,143,228,334
2018/8/11,0,19,40,98,158,227
2018/8/12,0,15,64,153,219,335
2018/8/13,0,19,84,222,330,484
2018/8/14,0,19,72,151,266,401
2018/8/15,0,25,96,206,323,495
2018/8/16,0,30,110,226,337,460
2018/8/17,0,25,91,226,356,508
2018/8/18,0,23,82,177,294,412
2018/8/19,0,22,78,179,291,390
2018/8/20,0,33,95,205,335,476
2018/8/21,0,16,92,165,235,360
2018/8/22,0,12,63,150,225,318
2018/8/23,0,21,83,166,234,334
2018/8/24,0,19,79,136,207,298
2018/8/25,0,39,107,196,288,387
2018/8/26,0,13,129,219,316,445
2018/8/27,0,23,111,196,283,399
2018/8/28,0,14,65,136,218,290
2018/8/29,0,34,99,172,273,377
2018/8/30,0,34,173,321,452,665
2018/8/31,0,27,104,189,288,392
2018/9/1,272,171,100,178,271,353
2018/9/2,210,173,82,153,215,302
2018/9/3,179,169,120,186,259,344
2018/9/4,15,26,91,178,258,333
2018/9/5,20,39,103,181,280,370
2018/9/6,13,38,90,150,207,273
